"NomeServidor","Sisoperacional","LastLogonTimeStamp","IP"
"PLMS01","Windows Server 2016 Standard","29/01/2026 06:10:52","192.168.250.106"
"PSDC01","Windows Server 2016 Standard","29/01/2026 05:23:38","172.27.3.5"
"PSRM01","Windows Server 2016 Standard","29/01/2026 05:10:29","192.168.250.151"
"PSIT01","Windows Server 2022 Datacenter","28/01/2026 11:08:57","192.168.50.15"
"PSDC02","Windows Server 2016 Standard","28/01/2026 07:35:30","172.27.3.6"
"VDIW2201","Windows Server 2022 Datacenter","28/01/2026 07:25:06","172.27.5.94"
"PALM02","Windows Server 2016 Standard","28/01/2026 05:37:13","192.168.50.22"
"PSCM01","Windows Server 2016 Standard","28/01/2026 05:34:16","192.168.250.224"
"PTRM01","Windows Server 2016 Standard","28/01/2026 05:03:45","172.27.3.106"
"VDIW2207","Windows Server 2022 Datacenter","28/01/2026 03:28:30","172.27.1.50"
"PSQL01","Windows Server 2016 Standard","28/01/2026 02:26:34","192.168.250.220"
"PCAM01","Windows Server 2012 R2 Standard","27/01/2026 21:10:59","172.27.6.2"
"PSDCK01","Windows Server 2016 Standard","27/01/2026 19:02:09","192.168.80.10"
"PDGW02","Windows Server 2022 Datacenter","27/01/2026 02:22:42","192.168.50.30"
"CLOUD02","Windows Server 2016 Standard","27/01/2026 00:51:20","172.27.1.102"
"PQLK04","Windows Server 2008 R2 Enterprise","26/01/2026 15:18:48","192.168.20.54"
"PCOC01","Windows Server 2022 Datacenter","26/01/2026 12:52:52","192.168.50.98"
"PTRM02","Windows Server 2016 Standard","26/01/2026 09:12:03","172.27.3.107"
"PSCM02","Windows Server 2016 Standard","26/01/2026 05:10:09","192.168.250.226"
"VDIW2203","Windows Server 2022 Datacenter","26/01/2026 03:06:28","172.27.5.106"
"VDIW2208","Windows Server 2022 Datacenter","25/01/2026 20:17:00","172.27.5.114"
"TSRV16","Windows Server 2016 Standard","25/01/2026 14:04:20","192.168.30.67"
"PMDS04","Windows Server 2016 Standard","25/01/2026 07:46:10","192.168.171.68"
"PDGW01","Windows Server 2022 Datacenter","24/01/2026 23:12:06","192.168.50.28"
"PJEN03","Windows Server 2022 Datacenter","24/01/2026 20:30:45","172.27.5.105"
"PSPF02","Windows Server 2016 Standard","24/01/2026 19:55:34","192.168.50.61"
"PRAD01","Windows Server 2016 Standard","24/01/2026 08:33:28","172.27.3.10"
"PALM01","Windows Server 2016 Standard","23/01/2026 23:10:43","192.168.50.21"
"PSDC03","Windows Server 2016 Standard","23/01/2026 20:04:32","172.27.3.7"
"PTTM01","Windows Server 2016 Standard","23/01/2026 17:27:51","192.168.50.140"
"PQLK03","Windows Server 2008 R2 Enterprise","23/01/2026 09:05:26","192.168.70.53"
"PSPF01","Windows Server 2016 Standard","22/01/2026 16:12:27","192.168.250.228"
"PQLK02","Windows Server 2008 R2 Enterprise","22/01/2026 12:00:27","192.168.70.52"
"PMDS01","Windows Server 2016 Standard","22/01/2026 08:22:31","192.168.171.67"
"PSHC02","Windows Server 2022 Datacenter","22/01/2026 06:54:39","172.27.3.132"
"PPBI01","Windows Server 2022 Datacenter","22/01/2026 06:22:27","192.168.50.11"
"PCER02","Windows Server 2016 Standard","22/01/2026 03:16:27","172.27.3.26"
"PQLK01","Windows Server 2008 R2 Enterprise","21/01/2026 19:55:37","192.168.70.51"
"PMDS02","Windows Server 2016 Standard","21/01/2026 16:42:17","192.168.171.84"
"PSHC01","Windows Server 2022 Datacenter","21/01/2026 01:36:39","172.27.3.131"
"TSRV01","Windows Server 2022 Datacenter","20/01/2026 21:50:47","192.168.30.58"
"PCER03","Windows Server 2016 Standard","20/01/2026 11:01:42","192.168.250.22"
"PPRT01","Windows Server 2022 Datacenter","20/01/2026 10:50:36","172.27.3.30"
"PSQL22","Windows Server 2016 Standard","20/01/2026 04:24:47","192.168.50.53"
"PMTS01","Windows Server 2016 Standard","19/01/2026 21:59:25","192.168.171.65"
"POPS01","Windows Server 2016 Standard","19/01/2026 14:39:37","192.168.250.66"
"TSVC01","Windows Server 2016 Standard","19/01/2026 03:23:26","192.168.50.40"
"PSVC02","Windows Server 2016 Standard","13/11/2025 20:55:41","N/D"
"PSVC03","Windows Server 2016 Standard","09/11/2025 16:30:25","N/D"
"PSVC04","Windows Server 2016 Standard","08/11/2025 20:04:03","N/D"
"VDIW2202","Windows Server 2022 Datacenter","04/09/2025 15:23:21","N/D"
"PMDS03","Windows Server 2016 Standard","19/12/2024 12:28:29","N/D"
"CLOUD01","Windows Server 2016 Standard","13/12/2024 03:20:56","N/D"
"PPRT02","Windows Server 2016 Standard","10/03/2024 12:32:13","N/D"
"SOFSV003","Windows Server 2003","03/08/2023 13:22:03","N/D"
"VDIW1602","Windows Server 2016 Standard","01/04/2023 10:54:27","N/D"
"PSEP02","Windows Server 2016 Standard","04/09/2022 06:30:19","N/D"
"TALM01","Windows Server 2016 Standard","05/04/2022 20:29:39","N/D"
"TALM02","Windows Server 2016 Standard","05/04/2022 15:49:02","N/D"
"PSRM501","Windows Server 2008 R2 Enterprise","13/03/2021 07:45:52","N/D"
"PDPM01","Windows Server 2016 Standard","10/10/2019 11:30:02","N/D"
"TFIT02","Windows Server® 2008 Enterprise without Hyper-V","18/10/2018 11:55:40","N/D"
"TFIT01","Windows Server® 2008 Enterprise without Hyper-V","17/10/2018 07:47:45","N/D"
"PWIN01","Windows Server 2012 R2 Standard Evaluation","08/03/2017 16:49:19","N/D"
